,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,North Carolina,Nebraska,New Hampshire,New Jersey,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia
StateAbbrev,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
4/30/1999,149399,92789,75755,128373,191888,173694,170575,203802,143619,114537,121245,238990,89019,130234,138055,104890,86663,87157,99286,193841,159547,104912,111487,125797,93775,80658,127580,98826,131649,179484,173866,127305,104620,74411,154594,102002,136349,112150,105122,104522,105919,173316,130321,120115,168636,113496,64425
5/31/1999,149916,93106,75929,129048,193219,175233,171736,205359,144331,115025,121929,238164,89354,130271,138483,104940,87047,87485,99646,195856,159933,105759,112201,127124,94083,80864,127939,99123,133093,180646,174338,128083,104907,74727,154946,102228,137100,112654,106124,104859,106611,173093,130865,120719,169459,114041,64462
6/30/1999,150295,93363,76122,129917,194791,177109,172817,206876,145094,115686,122627,236938,89733,130298,139225,105487,87405,87824,100020,197822,160381,106732,113011,128613,94392,80751,128288,99247,134658,181806,174933,128915,105171,75071,155256,102498,138174,113214,106453,105279,107298,172862,131550,121501,170590,114612,64572
7/31/1999,150256,93583,76332,130717,196460,178852,173934,208776,145935,116375,123350,235691,90046,130122,140023,106019,87676,88133,100291,200152,160893,107849,113793,129879,94699,80810,128661,99394,136057,183089,176060,130018,105450,75432,155563,102772,139313,113622,106571,105731,107956,172721,132180,122407,171494,115128,64666
8/31/1999,150483,93846,76490,131483,197941,180356,174917,210610,146616,116992,124017,235253,90417,130105,140797,105522,87998,88453,100683,201924,161394,108792,114580,130856,95175,80717,129033,99681,137200,184155,177032,130903,105782,75717,155872,103021,140343,114023,107115,106148,108517,173203,132794,123062,172473,115591,64691
9/30/1999,150646,94112,76628,132137,199271,181494,175886,212388,147249,117431,124698,235320,90766,130055,141313,104682,88319,88746,101038,203771,161906,109444,115321,131585,95661,80788,129431,100001,138185,185165,177920,131778,106129,75957,156546,103284,141209,114341,107737,106451,108981,173649,133429,123812,173252,116001,64658
10/31/1999,151544,94403,76733,132771,200832,182727,176811,213863,147799,117814,125357,235921,91287,130182,141942,103258,88653,89045,101300,205241,162514,109956,116043,132459,96054,80974,129780,100359,139073,186078,178458,132391,106488,76171,157164,103526,141999,114720,108784,106693,109521,174138,134101,124545,174338,116457,64605
11/30/1999,151984,94755,76861,133409,202722,184229,177900,215891,148400,118331,126035,236826,91859,130394,142712,102258,89029,89417,101637,206955,163345,110795,116770,133756,96316,81451,130207,100686,140539,187322,179128,133079,106864,76493,157889,103847,143260,115210,109661,107014,110115,174536,134830,125481,175494,117092,64690
12/31/1999,152465,95093,77037,133968,204807,185854,179208,218512,148997,118898,126684,238110,92252,130694,143542,100988,89446,89795,102036,209047,164136,111715,117503,135141,96622,81894,130661,100987,142145,188698,179824,133698,107326,76878,158201,104230,144608,115766,110242,107331,110711,175111,135541,126381,176552,117802,64816
1/31/2000,152670,95364,77226,134693,206839,187589,180552,221744,149659,119497,127306,239941,92623,131036,144543,100450,89879,90179,102556,211082,164850,112816,118367,136485,97087,82075,131115,101088,144079,190213,180676,134301,107860,77225,158614,104664,146207,116278,110877,107655,111099,175654,136313,127302,177517,118519,65094
2/29/2000,152811,95616,77531,135428,208781,189341,182174,224451,150380,120104,128040,241297,92995,131237,145546,100365,90179,90471,103115,213456,165309,113896,119132,137748,97558,82205,131653,101299,145725,191625,181388,135159,108391,77475,159115,105173,147674,116841,110714,107983,111381,176203,137220,128076,178494,119005,65408
3/31/2000,152696,95876,77844,136218,210774,191058,183695,226757,151143,120786,128830,242890,93553,131414,146552,100384,90455,90762,103587,215523,165844,114964,119954,138878,98023,82345,132195,101540,147375,193031,182160,136154,108832,77774,159828,105672,149234,117369,110018,108313,111550,176654,138102,128942,179438,119486,65765
4/30/2000,152501,96251,78203,136956,212913,192947,185085,228447,151944,121520,129705,244014,93984,131554,147448,100111,90657,91040,104009,217667,166352,115914,120703,140172,98540,82514,132787,101926,148464,194427,182961,137276,109293,78098,160593,106159,150701,117923,109346,108664,111738,177216,138920,129715,180370,119798,65975
5/31/2000,152519,96584,78420,137702,215239,194836,186031,230065,152750,122217,130520,245508,94411,131957,148321,99943,90980,91350,104346,219821,167068,116650,121537,141419,99107,82851,133330,102091,149579,195763,183748,138261,109833,78495,161166,106635,152046,118365,109263,108954,111775,178828,139627,130547,181396,120294,66118
6/30/2000,152657,96963,78592,138257,217656,196768,187054,232109,153570,122854,131329,247030,94757,132426,149159,99950,91307,91648,104719,222022,167746,117380,122315,142755,99658,83309,133868,102241,150618,197170,184396,139222,110418,78823,161686,107078,152936,118822,109519,109196,111810,180223,140275,131251,182202,120783,66294
7/31/2000,153224,97268,78717,138868,220152,198633,188221,233864,154391,123463,132107,248387,95146,132882,149947,100258,91731,91990,105056,224300,168476,118061,123164,144155,100233,83653,134357,102325,152088,198593,184742,139952,110914,79161,162081,107514,153753,119224,109802,109449,111804,181561,141057,131953,183109,121384,66482
8/31/2000,153816,97580,78947,139440,222815,200754,189436,235261,155178,124083,132940,249884,95452,133248,150851,100793,92152,92388,105419,227065,169077,118936,123958,146077,100834,84010,134814,102530,153781,200229,185216,140624,111359,79468,162530,107888,154480,119730,109912,109686,111988,181796,141966,132742,183778,121974,66765
9/30/2000,154847,97870,79235,140160,225571,203074,190653,236158,155924,124779,133774,251166,95813,133543,151820,101267,92557,92834,105850,230045,169749,119956,124702,147902,101445,84305,135260,102721,155556,201923,185891,141263,111797,79759,162845,108279,155441,120296,110413,109992,112233,182263,142940,133613,184477,122557,67022
10/31/2000,155602,98179,79570,140820,228238,205423,191815,236132,156627,125522,134640,252533,96199,133830,152814,101894,92973,93245,106390,233102,170538,121025,125410,149722,102099,84788,135729,102916,157648,203613,186689,142030,112223,80055,163218,108697,156388,120854,110620,110258,112481,182691,143881,134603,185000,123135,67347
11/30/2000,156479,98501,80016,141474,230893,207699,193088,236437,157464,126322,135516,253380,96546,134130,153839,102505,93324,93681,106961,235976,171361,122119,126193,151128,102820,85258,136275,103175,159483,205205,187538,142975,112659,80408,163623,109192,157460,121389,110663,110587,112775,183272,144863,135498,185641,123641,67805
12/31/2000,157456,98914,80492,142158,233576,209945,194371,236635,158194,127147,136480,254331,96993,134438,154913,103170,93721,94146,107559,238922,172262,123292,127007,152810,103478,85877,136830,103422,161364,206775,188320,143977,113077,80807,164187,109719,158708,121818,110737,110980,113095,183828,145913,136391,186417,124154,68387
1/31/2001,158992,99413,81060,142864,236153,212321,195777,237665,159014,128003,137465,255263,97366,134954,155943,103643,94217,94732,108196,241870,173031,124563,127726,154400,103976,86381,137425,103872,163015,208381,189216,145006,113492,81255,164858,110241,160141,122360,110749,111479,113314,184391,147014,137136,187351,124633,69034
2/28/2001,161492,99806,81355,143567,238829,214436,197087,238819,159684,128893,138283,256274,97785,135408,156842,103747,94879,95248,108713,244675,173926,125695,128353,155966,104380,86720,137842,104114,165016,210194,190297,145836,113866,81666,165404,110706,161539,122810,110626,111852,113304,184799,147957,138079,188235,125230,69323
3/31/2001,164795,100156,81617,144219,241622,216433,198416,240643,160456,129796,138999,257124,98097,136085,157755,103867,95576,95758,109234,247542,174785,126773,128947,157631,104915,86966,138221,104323,166926,212027,191323,146660,114270,82011,165948,111196,163071,123300,110797,112203,113138,185070,148948,139028,189064,125840,69562
4/30/2001,168075,100398,81750,144833,244574,218178,199836,242837,161143,130714,139619,258239,98439,136619,158730,104058,96211,96174,109686,250495,175854,127689,129551,159356,105539,87237,138522,104400,169053,213994,192265,147463,114661,82307,166344,111698,164671,123611,111230,112469,113040,185267,149907,140066,189823,126568,69696
5/31/2001,170970,100644,82038,145449,247224,219902,201343,244782,161874,131657,140322,259802,98763,137084,159837,104311,96878,96626,109982,253486,176795,128918,130167,160941,106198,87546,138859,104671,171346,215925,193169,148360,115022,82565,166801,112149,166283,124023,112055,112768,113126,185063,150992,140979,190479,127203,70029
6/30/2001,173394,100873,82312,146047,249563,221399,202764,246227,162555,132620,140985,261478,99121,137335,160890,104454,97494,97076,110295,256641,177837,130112,130704,162478,106845,87842,139179,105041,173640,217906,194206,149270,115327,82841,167244,112584,167964,124424,112394,113023,113233,185023,152004,141896,191195,127839,70289
7/31/2001,175619,101146,82610,146591,251635,222931,204075,247868,163216,133660,141654,263129,99493,137735,161850,104504,98016,97483,110579,259709,178836,131383,131225,164048,107468,88054,139448,105415,175804,219860,195332,150233,115665,83087,167787,113023,169662,124874,112803,113244,113361,184958,153041,142850,191791,128437,70518
8/31/2001,177240,101390,82855,147120,253669,224477,205908,250081,163943,134733,142315,264279,99921,138230,162760,104758,98478,97806,111205,262943,180023,132452,131762,165677,108022,88359,139784,105704,177676,221742,196543,151233,116023,83386,168429,113510,171604,125201,112909,113534,113408,185397,154031,143686,192535,129031,70725
